datetime,contract,symbol,exchange,open,high,low,close,openinterest,volume,amount
2017-01-03 09:00:00-03:00,HC1705,HC,SHFE,3309.0,3324.0,3309.0,3317.0,176894,2259,74917650
2017-01-03 09:01:00-03:00,HC1705,HC,SHFE,3317.0,3326.0,3317.0,3323.0,176669,963,31985320
2017-01-03 09:02:00-03:00,HC1705,HC,SHFE,3323.0,3399.0,3323.0,3381.0,176084,4921,166005070
2017-01-03 09:03:00-03:00,HC1705,HC,SHFE,3383.0,3384.0,3370.0,3377.0,175392,2095,70779590
2017-01-03 09:04:00-03:00,HC1705,HC,SHFE,3377.0,3396.0,3377.0,3392.0,174824,2793,94695420
2017-01-03 09:05:00-03:00,HC1705,HC,SHFE,3392.0,3400.0,3392.0,3400.0,173177,4096,139143070
2017-01-03 09:06:00-03:00,HC1705,HC,SHFE,3400.0,3400.0,3381.0,3386.0,172716,1871,63429110
2017-01-03 09:07:00-03:00,HC1705,HC,SHFE,3386.0,3392.0,3382.0,3386.0,172530,1216,41189470
2017-01-03 09:08:00-03:00,HC1705,HC,SHFE,3386.0,3392.0,3385.0,3390.0,172451,666,22569650
2017-01-03 09:09:00-03:00,HC1705,HC,SHFE,3389.0,3390.0,3374.0,3382.0,172107,1231,41635680
2017-01-03 09:10:00-03:00,HC1705,HC,SHFE,3384.0,3390.0,3384.0,3386.0,172205,515,17445910
2017-01-03 09:11:00-03:00,HC1705,HC,SHFE,3386.0,3387.0,3373.0,3373.0,172161,683,23077250
2017-01-03 09:12:00-03:00,HC1705,HC,SHFE,3372.0,3377.0,3372.0,3373.0,172065,606,20452930
2017-01-03 09:13:00-03:00,HC1705,HC,SHFE,3372.0,3372.0,3362.0,3363.0,172022,815,27444430
2017-01-03 09:14:00-03:00,HC1705,HC,SHFE,3363.0,3366.0,3358.0,3365.0,172009,975,32780890
2017-01-03 09:15:00-03:00,HC1705,HC,SHFE,3367.0,3372.0,3365.0,3366.0,171768,874,29446990
2017-01-03 09:16:00-03:00,HC1705,HC,SHFE,3366.0,3371.0,3365.0,3366.0,171779,417,14045000
2017-01-03 09:17:00-03:00,HC1705,HC,SHFE,3368.0,3370.0,3364.0,3367.0,171901,528,17780960
2017-01-03 09:18:00-03:00,HC1705,HC,SHFE,3367.0,3367.0,3360.0,3362.0,171923,620,20852620
2017-01-03 09:19:00-03:00,HC1705,HC,SHFE,3360.0,3361.0,3352.0,3356.0,171903,958,32150970
2017-01-03 09:20:00-03:00,HC1705,HC,SHFE,3356.0,3360.0,3354.0,3360.0,172047,643,21584000
2017-01-03 09:21:00-03:00,HC1705,HC,SHFE,3358.0,3361.0,3355.0,3356.0,172152,307,10308900
2017-01-03 09:22:00-03:00,HC1705,HC,SHFE,3355.0,3358.0,3351.0,3357.0,172109,476,15966980
2017-01-03 09:23:00-03:00,HC1705,HC,SHFE,3357.0,3360.0,3352.0,3356.0,172210,519,17412940
2017-01-03 09:24:00-03:00,HC1705,HC,SHFE,3355.0,3360.0,3354.0,3359.0,172220,219,7352070
2017-01-03 09:25:00-03:00,HC1705,HC,SHFE,3357.0,3365.0,3357.0,3364.0,172311,594,19961390
2017-01-03 09:26:00-03:00,HC1705,HC,SHFE,3363.0,3364.0,3360.0,3361.0,172386,315,10591320
2017-01-03 09:27:00-03:00,HC1705,HC,SHFE,3361.0,3363.0,3356.0,3357.0,172429,211,7088920
2017-01-03 09:28:00-03:00,HC1705,HC,SHFE,3356.0,3357.0,3351.0,3356.0,172540,261,8756080
2017-01-03 09:29:00-03:00,HC1705,HC,SHFE,3356.0,3365.0,3353.0,3365.0,172629,420,14110640
2017-01-03 09:30:00-03:00,HC1705,HC,SHFE,3365.0,3365.0,3357.0,3360.0,172647,356,11965340
2017-01-03 09:31:00-03:00,HC1705,HC,SHFE,3359.0,3360.0,3354.0,3354.0,172672,394,13227150
2017-01-03 09:32:00-03:00,HC1705,HC,SHFE,3354.0,3359.0,3354.0,3358.0,172701,216,7253010
2017-01-03 09:33:00-03:00,HC1705,HC,SHFE,3357.0,3358.0,3353.0,3353.0,172722,189,6342040
2017-01-03 09:34:00-03:00,HC1705,HC,SHFE,3353.0,3357.0,3352.0,3355.0,172741,207,6943110
2017-01-03 09:35:00-03:00,HC1705,HC,SHFE,3355.0,3356.0,3345.0,3348.0,172764,930,31155900
2017-01-03 09:36:00-03:00,HC1705,HC,SHFE,3348.0,3348.0,3341.0,3342.0,172861,563,18834270
2017-01-03 09:37:00-03:00,HC1705,HC,SHFE,3342.0,3345.0,3341.0,3342.0,172838,746,24931050
2017-01-03 09:38:00-03:00,HC1705,HC,SHFE,3341.0,3346.0,3340.0,3346.0,172919,331,11061440
2017-01-03 09:39:00-03:00,HC1705,HC,SHFE,3345.0,3348.0,3341.0,3348.0,172904,420,14050770
2017-01-03 09:40:00-03:00,HC1705,HC,SHFE,3349.0,3351.0,3341.0,3350.0,172826,707,23666180
2017-01-03 09:41:00-03:00,HC1705,HC,SHFE,3348.0,3350.0,3346.0,3347.0,172842,120,4017730
2017-01-03 09:42:00-03:00,HC1705,HC,SHFE,3348.0,3348.0,3344.0,3347.0,172832,85,2844020
2017-01-03 09:43:00-03:00,HC1705,HC,SHFE,3348.0,3357.0,3348.0,3356.0,172863,469,15721310
2017-01-03 09:44:00-03:00,HC1705,HC,SHFE,3356.0,3356.0,3350.0,3351.0,172738,381,12775780
2017-01-03 09:45:00-03:00,HC1705,HC,SHFE,3350.0,3355.0,3350.0,3353.0,172792,280,9386340
2017-01-03 09:46:00-03:00,HC1705,HC,SHFE,3353.0,3359.0,3353.0,3359.0,172764,223,7482570
2017-01-03 09:47:00-03:00,HC1705,HC,SHFE,3359.0,3363.0,3357.0,3359.0,172801,392,13169100
